Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
Not stated dog,South Yorkshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,South Yorkshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,South Yorkshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,South Yorkshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Staffordshire,Total,Total: all,Not reported,0.0
*Total Restraint,Staffordshire,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Staffordshire,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Staffordshire,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Staffordshire,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Staffordshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Staffordshire,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Staffordshire,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Staffordshire,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Staffordshire,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Staffordshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Staffordshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Staffordshire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Staffordshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Staffordshire,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Staffordshire,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Staffordshire,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Staffordshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Staffordshire,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Staffordshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Staffordshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Staffordshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Staffordshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Staffordshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Staffordshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Staffordshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Staffordshire,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Staffordshire,Other,Total: Other,Not reported,0.0
"Dog use, of which",Staffordshire,Other,Total: Dog,Not reported,0.0
Dog deployed,Staffordshire,Other,Dog: deployed,Not reported,0.0
Dog bite,Staffordshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Staffordshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Staffordshire,Other,Other / improvised,Not reported,0.0
*Total Not reported,Staffordshire,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Staffordshire,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Suffolk,Total,Total: all,Not reported,150.0
*Total Restraint,Suffolk,Restraint,Total: Restraint,Not reported,84.0
"Handcuffing, of which",Suffolk,Restraint,Total: Handcuffing,Not reported,57.0
Compliant handcuffing,Suffolk,Restraint,Handcuffing: compliant,Not reported,29.0
Non-compliant handcuffing,Suffolk,Restraint,Handcuffing: non-compliant,Not reported,28.0
Not stated handcuffing,Suffolk,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Suffolk,Restraint,Limb / body restraints,Not reported,14.0
Ground restraint,Suffolk,Restraint,Ground restraint,Not reported,13.0
*Total Unarmed skills,Suffolk,Unarmed skills,Total: unarmed skills,Not reported,26.0
*Total Other equipment,Suffolk,Other equipment,Total: Other equipment,Not reported,9.0
"Baton, of which",Suffolk,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Suffolk,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Suffolk,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Suffolk,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Suffolk,Other equipment,Total: Irritant spray,Not reported,7.0
Irritant spray - drawn,Suffolk,Other equipment,Irritant spray: drawn,Not reported,3.0
Irritant spray - used,Suffolk,Other equipment,Irritant spray: used,Not reported,4.0
Not stated irritant spray,Suffolk,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Suffolk,Other equipment,Spit and bite guard,Not reported,1.0
Shield,Suffolk,Other equipment,Shield,Not reported,1.0
*Total Less lethal weapons,Suffolk,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Suffolk,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Suffolk,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Suffolk,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Suffolk,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Suffolk,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Suffolk,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Suffolk,Other,Total: Other,Not reported,31.0
"Dog use, of which",Suffolk,Other,Total: Dog,Not reported,1.0
Dog deployed,Suffolk,Other,Dog: deployed,Not reported,0.0
Dog bite,Suffolk,Other,Dog: bite,Not reported,1.0
Not stated dog,Suffolk,Other,Dog: not stated,Not reported,0.0
Other / improvised,Suffolk,Other,Other / improvised,Not reported,30.0
*Total Not reported,Suffolk,Not reported,Total: Not reported,Not reported,1.0
Tactical communication,Suffolk,Excluded: Tactical Communication,Tactical Communication,Not reported,50.0
*Total Tactics,Surrey,Total,Total: all,Not reported,0.0
*Total Restraint,Surrey,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Surrey,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Surrey,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Surrey,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Surrey,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Surrey,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Surrey,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Surrey,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Surrey,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Surrey,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Surrey,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Surrey,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Surrey,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Surrey,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Surrey,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Surrey,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Surrey,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Surrey,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Surrey,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Surrey,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Surrey,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Surrey,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Surrey,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Surrey,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Surrey,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Surrey,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Surrey,Other,Total: Other,Not reported,0.0
"Dog use, of which",Surrey,Other,Total: Dog,Not reported,0.0
Dog deployed,Surrey,Other,Dog: deployed,Not reported,0.0
Dog bite,Surrey,Other,Dog: bite,Not reported,0.0
Not stated dog,Surrey,Other,Dog: not stated,Not reported,0.0
Other / improvised,Surrey,Other,Other / improvised,Not reported,0.0
*Total Not reported,Surrey,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Surrey,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Sussex,Total,Total: all,Not reported,11.0
*Total Restraint,Sussex,Restraint,Total: Restraint,Not reported,4.0
"Handcuffing, of which",Sussex,Restraint,Total: Handcuffing,Not reported,4.0
Compliant handcuffing,Sussex,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Sussex,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Sussex,Restraint,Handcuffing: not stated,Not reported,4.0
Limb / Body restraints,Sussex,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Sussex,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Sussex,Unarmed skills,Total: unarmed skills,Not reported,7.0
*Total Other equipment,Sussex,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Sussex,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Sussex,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Sussex,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Sussex,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Sussex,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Sussex,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Sussex,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Sussex,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Sussex,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Sussex,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Sussex,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Sussex,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Sussex,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Sussex,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Sussex,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Sussex,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Sussex,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Sussex,Other,Total: Other,Not reported,0.0
"Dog use, of which",Sussex,Other,Total: Dog,Not reported,0.0
Dog deployed,Sussex,Other,Dog: deployed,Not reported,0.0
Dog bite,Sussex,Other,Dog: bite,Not reported,0.0
Not stated dog,Sussex,Other,Dog: not stated,Not reported,0.0
Other / improvised,Sussex,Other,Other / improvised,Not reported,0.0
*Total Not reported,Sussex,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Sussex,Excluded: Tactical Communication,Tactical Communication,Not reported,5.0
*Total Tactics,Thames Valley,Total,Total: all,Not reported,0.0
*Total Restraint,Thames Valley,Restraint,Total: Restraint,Not reported,0.0
"Handcuffing, of which",Thames Valley,Restraint,Total: Handcuffing,Not reported,0.0
Compliant handcuffing,Thames Valley,Restraint,Handcuffing: compliant,Not reported,0.0
Non-compliant handcuffing,Thames Valley,Restraint,Handcuffing: non-compliant,Not reported,0.0
Not stated handcuffing,Thames Valley,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Thames Valley,Restraint,Limb / body restraints,Not reported,0.0
Ground restraint,Thames Valley,Restraint,Ground restraint,Not reported,0.0
*Total Unarmed skills,Thames Valley,Unarmed skills,Total: unarmed skills,Not reported,0.0
*Total Other equipment,Thames Valley,Other equipment,Total: Other equipment,Not reported,0.0
"Baton, of which",Thames Valley,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Thames Valley,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Thames Valley,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Thames Valley,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Thames Valley,Other equipment,Total: Irritant spray,Not reported,0.0
Irritant spray - drawn,Thames Valley,Other equipment,Irritant spray: drawn,Not reported,0.0
Irritant spray - used,Thames Valley,Other equipment,Irritant spray: used,Not reported,0.0
Not stated irritant spray,Thames Valley,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Thames Valley,Other equipment,Spit and bite guard,Not reported,0.0
Shield,Thames Valley,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Thames Valley,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Thames Valley,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Thames Valley,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Thames Valley,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Thames Valley,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Thames Valley,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Thames Valley,Firearms,Total: Firearms,Not reported,0.0
*Total Other,Thames Valley,Other,Total: Other,Not reported,0.0
"Dog use, of which",Thames Valley,Other,Total: Dog,Not reported,0.0
Dog deployed,Thames Valley,Other,Dog: deployed,Not reported,0.0
Dog bite,Thames Valley,Other,Dog: bite,Not reported,0.0
Not stated dog,Thames Valley,Other,Dog: not stated,Not reported,0.0
Other / improvised,Thames Valley,Other,Other / improvised,Not reported,0.0
*Total Not reported,Thames Valley,Not reported,Total: Not reported,Not reported,0.0
Tactical communication,Thames Valley,Excluded: Tactical Communication,Tactical Communication,Not reported,0.0
*Total Tactics,Warwickshire,Total,Total: all,Not reported,61.0
*Total Restraint,Warwickshire,Restraint,Total: Restraint,Not reported,24.0
"Handcuffing, of which",Warwickshire,Restraint,Total: Handcuffing,Not reported,17.0
Compliant handcuffing,Warwickshire,Restraint,Handcuffing: compliant,Not reported,8.0
Non-compliant handcuffing,Warwickshire,Restraint,Handcuffing: non-compliant,Not reported,9.0
Not stated handcuffing,Warwickshire,Restraint,Handcuffing: not stated,Not reported,0.0
Limb / Body restraints,Warwickshire,Restraint,Limb / body restraints,Not reported,1.0
Ground restraint,Warwickshire,Restraint,Ground restraint,Not reported,6.0
*Total Unarmed skills,Warwickshire,Unarmed skills,Total: unarmed skills,Not reported,11.0
*Total Other equipment,Warwickshire,Other equipment,Total: Other equipment,Not reported,7.0
"Baton, of which",Warwickshire,Other equipment,Total: Baton,Not reported,0.0
Baton drawn,Warwickshire,Other equipment,Baton: drawn,Not reported,0.0
Baton used,Warwickshire,Other equipment,Baton: used,Not reported,0.0
Not stated baton,Warwickshire,Other equipment,Baton: not stated,Not reported,0.0
"Irritant spray, of which",Warwickshire,Other equipment,Total: Irritant spray,Not reported,3.0
Irritant spray - drawn,Warwickshire,Other equipment,Irritant spray: drawn,Not reported,1.0
Irritant spray - used,Warwickshire,Other equipment,Irritant spray: used,Not reported,2.0
Not stated irritant spray,Warwickshire,Other equipment,Irritant spray: not stated,Not reported,0.0
Spit and bite guard,Warwickshire,Other equipment,Spit and bite guard,Not reported,4.0
Shield,Warwickshire,Other equipment,Shield,Not reported,0.0
*Total Less lethal weapons,Warwickshire,Less lethal weapons,Total: Less lethal weapons,Not reported,0.0
CED,Warwickshire,Less lethal weapons,CED,Not reported,0.0
"AEP, of which",Warwickshire,Less lethal weapons,Total: AEP,Not reported,0.0
AEP aimed,Warwickshire,Less lethal weapons,AEP: Aimed,Not reported,0.0
AEP fired,Warwickshire,Less lethal weapons,AEP: Fired,Not reported,0.0
Not stated AEP,Warwickshire,Less lethal weapons,AEP: Not stated,Not reported,0.0
*Total Firearms,Warwickshire,Firearms,Total: Firearms,Not reported,1.0
*Total Other,Warwickshire,Other,Total: Other,Not reported,18.0
"Dog use, of which",Warwickshire,Other,Total: Dog,Not reported,1.0
Dog deployed,Warwickshire,Other,Dog: deployed,Not reported,1.0
Dog bite,Warwickshire,Other,Dog: bite,Not reported,0.0
Not stated dog,Warwickshire,Other,Dog: not stated,Not reported,0.0
Other / improvised,Warwickshire,Other,Other / improvised,Not reported,17.0
*Total Not reported,Warwickshire,Not reported,Total: Not reported,Not reported,1.0
