Tactic,Police Force,Force type - Output,Tactic - Output,ethnicity,count
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,White,276.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,White,130.0
Irritant spray - used,Cleveland,Other equipment,Irritant spray: used,White,146.0
Not stated irritant spray,Cleveland,Other equipment,Irritant spray: not stated,White,0.0
Spit and bite guard,Cleveland,Other equipment,Spit and bite guard,White,5.0
Shield,Cleveland,Other equipment,Shield,White,7.0
*Total Less lethal weapons,Cleveland,Less lethal weapons,Total: Less lethal weapons,White,254.0
CED,Cleveland,Less lethal weapons,CED,White,238.0
"AEP, of which",Cleveland,Less lethal weapons,Total: AEP,White,16.0
AEP aimed,Cleveland,Less lethal weapons,AEP: Aimed,White,16.0
AEP fired,Cleveland,Less lethal weapons,AEP: Fired,White,0.0
Not stated AEP,Cleveland,Less lethal weapons,AEP: Not stated,White,0.0
*Total Firearms,Cleveland,Firearms,Total: Firearms,White,31.0
*Total Other,Cleveland,Other,Total: Other,White,179.0
"Dog use, of which",Cleveland,Other,Total: Dog,White,31.0
Dog deployed,Cleveland,Other,Dog: deployed,White,23.0
Dog bite,Cleveland,Other,Dog: bite,White,8.0
Not stated dog,Cleveland,Other,Dog: not stated,White,0.0
Other / improvised,Cleveland,Other,Other / improvised,White,148.0
*Total Not reported,Cleveland,Not reported,Total: Not reported,White,0.0
Tactical communication,Cleveland,Excluded: Tactical Communication,Tactical Communication,White,6451.0
*Total Tactics,Cumbria,Total,Total: all,White,6115.0
*Total Restraint,Cumbria,Restraint,Total: Restraint,White,3521.0
"Handcuffing, of which",Cumbria,Restraint,Total: Handcuffing,White,2642.0
Compliant handcuffing,Cumbria,Restraint,Handcuffing: compliant,White,1213.0
Non-compliant handcuffing,Cumbria,Restraint,Handcuffing: non-compliant,White,1429.0
Not stated handcuffing,Cumbria,Restraint,Handcuffing: not stated,White,0.0
Limb / Body restraints,Cumbria,Restraint,Limb / body restraints,White,151.0
Ground restraint,Cumbria,Restraint,Ground restraint,White,728.0
*Total Unarmed skills,Cumbria,Unarmed skills,Total: unarmed skills,White,1684.0
*Total Other equipment,Cumbria,Other equipment,Total: Other equipment,White,418.0
"Baton, of which",Cumbria,Other equipment,Total: Baton,White,20.0
Baton drawn,Cumbria,Other equipment,Baton: drawn,White,8.0
Baton used,Cumbria,Other equipment,Baton: used,White,12.0
Not stated baton,Cumbria,Other equipment,Baton: not stated,White,0.0
"Irritant spray, of which",Cumbria,Other equipment,Total: Irritant spray,White,375.0
Irritant spray - drawn,Cumbria,Other equipment,Irritant spray: drawn,White,151.0
